Trade #,Type,Signal,Date/Time,Price THB,Contracts,Profit THB,Profit %,Cum. Profit THB,Cum. Profit %,Run-up THB,Run-up %,Drawdown THB,Drawdown %
743,Entry Short,MomSE,2023-07-24 15:15,936.2,1,-1466.20,-0.78,-122246.60,-0.17,96.90,0.05,1423.10,0.76
742,Exit Long,MomSE,2023-07-24 15:15,936.2,1,-1226.20,-0.65,-120780.40,-0.14,1056.90,0.56,1183.10,0.63
742,Entry Long,MomLE,2023-07-24 09:45,941.9,1,-1226.20,-0.65,-120780.40,-0.14,1056.90,0.56,1183.10,0.63
741,Exit Short,MomLE,2023-07-24 09:45,941.9,1,-346.20,-0.18,-119554.20,-0.04,0,0,303.10,0.16
741,Entry Short,MomSE,2023-07-21 16:45,940.6,1,-346.20,-0.18,-119554.20,-0.04,0,0,303.10,0.16
740,Exit Long,MomSE,2023-07-21 16:45,940.6,1,453.80,0.24,-119208.00,0.05,1296.90,0.69,0,0
740,Entry Long,MomLE,2023-07-21 11:30,937.9,1,453.80,0.24,-119208.00,0.05,1296.90,0.69,0,0
739,Exit Short,MomLE,2023-07-21 11:30,937.9,1,873.80,0.46,-119661.80,0.1,2336.90,1.24,343.10,0.18
739,Entry Short,MomSE,2023-07-20 10:15,942.7,1,873.80,0.46,-119661.80,0.1,2336.90,1.24,343.10,0.18
738,Exit Long,MomSE,2023-07-20 10:15,942.7,1,-106.20,-0.06,-120535.60,-0.01,756.90,0.4,503.10,0.27
738,Entry Long,MomLE,2023-07-20 09:45,942.8,1,-106.20,-0.06,-120535.60,-0.01,756.90,0.4,503.10,0.27
737,Exit Short,MomLE,2023-07-20 09:45,942.8,1,-86.20,-0.05,-120429.40,-0.01,236.90,0.13,43.10,0.02
737,Entry Short,MomSE,2023-07-19 16:15,942.8,1,-86.20,-0.05,-120429.40,-0.01,236.90,0.13,43.10,0.02
736,Exit Long,MomSE,2023-07-19 16:15,942.8,1,-306.20,-0.16,-120343.20,-0.03,956.90,0.51,1023.10,0.54
736,Entry Long,MomLE,2023-07-19 10:30,943.9,1,-306.20,-0.16,-120343.20,-0.03,956.90,0.51,1023.10,0.54
735,Exit Short,MomLE,2023-07-19 10:30,943.9,1,-686.20,-0.36,-120037.00,-0.08,0,0,643.10,0.34
735,Entry Short,MomSE,2023-07-19 10:15,940.9,1,-686.20,-0.36,-120037.00,-0.08,0,0,643.10,0.34
734,Exit Long,MomSE,2023-07-19 10:15,940.9,1,-506.20,-0.27,-119350.80,-0.06,596.90,0.32,1003.10,0.53
734,Entry Long,MomLE,2023-07-18 10:45,943.0,1,-506.20,-0.27,-119350.80,-0.06,596.90,0.32,1003.10,0.53
733,Exit Short,MomLE,2023-07-18 10:45,943.0,1,-1166.20,-0.62,-118844.60,-0.13,176.90,0.09,1123.10,0.6
733,Entry Short,MomSE,2023-07-18 09:45,937.6,1,-1166.20,-0.62,-118844.60,-0.13,176.90,0.09,1123.10,0.6
732,Exit Long,MomSE,2023-07-18 09:45,937.6,1,3973.80,2.17,-117678.40,0.45,4856.90,2.65,303.10,0.17
732,Entry Long,MomLE,2023-07-13 16:00,917.3,1,3973.80,2.17,-117678.40,0.45,4856.90,2.65,303.10,0.17
731,Exit Short,MomLE,2023-07-13 16:00,917.3,1,-546.20,-0.3,-121652.20,-0.06,0,0,503.10,0.27
731,Entry Short,MomSE,2023-07-13 15:30,915.0,1,-546.20,-0.3,-121652.20,-0.06,0,0,503.10,0.27
730,Exit Long,MomSE,2023-07-13 15:30,915.0,1,-286.20,-0.16,-121106.00,-0.03,456.90,0.25,463.10,0.25
730,Entry Long,MomLE,2023-07-13 10:45,916.0,1,-286.20,-0.16,-121106.00,-0.03,456.90,0.25,463.10,0.25
729,Exit Short,MomLE,2023-07-13 10:45,916.0,1,-886.20,-0.49,-120819.80,-0.1,116.90,0.06,1123.10,0.62
